+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;972;02.1.2.01.047;;    Capital De Giro Nº 68079077 - Sicoob;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;156;02.1.2.02;T;   Empréstimos De Pessoas Ligadas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;157;02.1.2.02.001;;    Emprestimo De Coligadas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;624;02.1.2.02.002;;    Empréstimo De Sócios;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;747;02.1.2.03;T;   Emprestimo A Terceiros;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;748;02.1.2.03.001;;    Empréstimo De Pessoas Físicas/jurídicas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;625;02.1.2.04;T;   Empréstimo Pessoa Jurídica;EMPRÉSTIMO PESSOA JU;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;626;02.1.2.04.001;;    Xanddy Transportes Ltda;Xanddy;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;669;02.1.2.04.002;;    Adiantamento De Clientes;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;670;02.1.2.05;T;   Cartão De Crédito;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;671;02.1.2.05.001;;    Visa Santander;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;672;02.1.2.05.002;;    Banricompras;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;789;02.1.2.05.003;;    Banco Inter;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;790;02.1.2.05.004;;    Nubank;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;967;02.1.2.05.005;;    Cartão Siccob;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;968;02.1.2.05.006;;    Sicredi;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;987;02.1.2.05.007;;    Cartão Sicredi;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;988;02.1.2.05.008;;    Cartão Santander;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1010;02.1.2.05.009;;    Cartão Unicred;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1014;02.1.2.05.010;;    Cartão Banco Do Brasil;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1192;02.1.2.05.011;;    Cartões De Créditos A Pagar;Cartões a Pagar;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;158;02.1.3;T;  Obrigações Trabalhistas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;159;02.1.3.01;T;   Folha De Pagamento De Empregados;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;785;02.1.3.01;T;   Folha De Pagamento De Empregados;DESCONTO CONVÊNIOS;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;160;02.1.3.01.001;;    Salários A Pagar;SALPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;161;02.1.3.01.002;;    Férias A Pagar;FERIASPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;162;02.1.3.01.003;;    Rescisões A Pagar;RESCPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;163;02.1.3.01.004;;    13º Salário A Pagar;13SALPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;164;02.1.3.01.006;;    Participação Lucros E Resultados A Pagar;PLRPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;165;02.1.3.01.007;;    Pensão Alimentícia;Pensão Alim;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;627;02.1.3.01.008;;    Consignados A Pagar;Consignados;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;786;02.1.3.01.009;;    Folha De Pagamento De Empregados;DESCONTO FARMACIA;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1119;02.1.3.01.010;;    Remuneração De Estagiários A Pagar;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;166;02.1.3.02;T;   Folha De Pagamento De Autônomos;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;167;02.1.3.02.001;;    Rendimentos Autônomos A Pagar;RENDPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;168;02.1.3.03;T;   Folha De Pagamento De Dirigentes;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;169;02.1.3.03.001;;    Pro-labore A Pagar;PROLPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;902;02.1.3.03.002;;    Pro-labore A Pagar Bernardo;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;903;02.1.3.03.003;;    Pro-labore A Pagar Egon;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;904;02.1.3.03.004;;    Pro-labore A Pagar Marga;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;170;02.1.3.04;T;   Encargos Sociais A Pagar;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;171;02.1.3.04.001;;    Inss A Pagar;INSSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;172;02.1.3.04.003;;    Fgts A Pagar;FGTSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;173;02.1.3.04.004;;    Contribuições Sindicais A Pagar;CSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;174;02.1.3.04.005;;    Grrf A Pagar;GRRFPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;905;02.1.3.04.006;;    Inss A Pagar Egon;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;175;02.1.3.05;T;   Provisões Da Folha De Pagamento;PROV;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;176;02.1.3.05.001;;    Provisão De 13º Salário;PROV 13;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;177;02.1.3.05.002;;    Provisão De Férias;PROV FER;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;178;02.1.3.05.003;;    Provisão Fgts 13º;PROVFGTS13;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;179;02.1.3.05.004;;    Provisão Fgts Férias;PROVFGTSFER;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;180;02.1.3.05.005;;    Provisão Inss 13º;PROVINSS13;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;181;02.1.3.05.006;;    Provisão Inss Férias;PROVINSSFER;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;182;02.1.4;T;  Obrigações Tributárias;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;183;02.1.4.01;T;   Impostos Retidos A Recolher;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;184;02.1.4.01.001;;    Irrf A Recolher - Pessoa Física;IRFPFPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;185;02.1.4.01.002;;    Irrf A Recolher - Pessoa Jurídica;IRFPJPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;186;02.1.4.01.003;;    Iss Retido A Recolher;ISSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;187;02.1.4.01.004;;    Irrf A Recolher - Contribuintes;IRRFPROPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;188;02.1.4.01.005;;    Irrf A Recolher - Plr;IRRFPLR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;628;02.1.4.01.006;;    Crf A Recolher;CRF a recolher;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;189;02.1.4.02;T;   Impostos E Contribuições Sobre O Lucro;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;190;02.1.4.02.001;;    Irpj A Pagar;IRPJPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;191;02.1.4.02.003;;    Contribuição Social S/lucro Real A Pagar;CSLRPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
