+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;74;01.1.3.02.001;;    Assinatura de Boletins Jornais Revistas;ASSJORNAIS;Ativo;Balanço Patrimonial;;;;90132;Comum
;75;01.1.3.03;T;   ALUGUEL ANTECIPADO A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90132;Comum
;76;01.1.3.03.001;;    Aluguel de Bens Imóveis;ALIMOV;Ativo;Balanço Patrimonial;;;;90132;Comum
;77;01.1.3.03.002;;    Aluguel de Bens Móveis;ALMOV;Ativo;Balanço Patrimonial;;;;90132;Comum
;656;01.1.3.03.003;;    Cartão Banricompras;;Ativo;Balanço Patrimonial;;;;90132;Comum
;743;01.1.3.04;T;   CERTIFICAÇÃO DIGITAL ANTECIPADA A APROP;;Ativo;Balanço Patrimonial;;;;90132;Comum
;744;01.1.3.04.001;;    Certificação Digital Antecipada a Aprop;;Ativo;Balanço Patrimonial;;;;90132;Comum
;657;01.1.4;T;  CRÉDITOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;658;01.1.4.01;T;   DIVERSOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;659;01.1.4.01.001;;    Cartão Visa Santander;;Ativo;Balanço Patrimonial;;;;90132;Comum
;660;01.1.4.02;T;   ADIANTAMENTO A TERCEIROS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;661;01.1.4.02.001;;    Ourocap Banco do Brasil;;Ativo;Balanço Patrimonial;;;;90132;Comum
;662;01.1.4.02.002;;    Crédito de Pessoas Ligadas;;Ativo;Balanço Patrimonial;;;;90132;Comum
;663;01.1.4.03;T;   DEPÓSITOS PARA AQUISIÇÃO DE BENS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;664;01.1.4.03.001;;    CONSÓRCIOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;78;01.2;T; ATIVO NÃO CIRCULANTE;;Ativo;Balanço Patrimonial;;;;90132;Comum
;79;01.2.1;T;  ATIVO REALIZÁVEL A LONGO PRAZO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;80;01.2.1.01;T;   TÍTULOS A RECEBER DE TERCEIROS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;81;01.2.1.01.001;;    Nota Promissória a Receber;NPROMREC;Ativo;Balanço Patrimonial;;;;90132;Comum
;665;01.2.1.01.002;;    CRÉDITO DE PESSOAS LIGADAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;82;01.2.1.02;T;   DEPÓSITOS JUDICIAIS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;83;01.2.1.02.001;;    Causas Trabalhistas;TRABALH;Ativo;Balanço Patrimonial;;;;90132;Comum
;84;01.2.1.02.002;;    PIS sobre receitas operacionais;PISJUDIC;Ativo;Balanço Patrimonial;;;;90132;Comum
;85;01.2.1.03;T;   EMPRÉSTIMOS COMPULSÓRIOS ELETROBRÁS;;Ativo;Balanço Patrimonial;;;;90132;Comum
